,seed,OSL Margin,OSL weight,beam,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
1,9361,0.0001,0.8,5,18.891,0.0,8.66,3.115,11.92,0.488,27131.436,0.183,0.892,1.112,1.112,1.077,6528.376,1.125,-0.055,-17.976
2,2804,0.0001,0.1,5,18.699,0.0,8.23,3.041,11.697,0.56,29132.717,0.126,0.731,1.125,1.125,1.083,2673.207,1.04,-0.036,-13.678
3,2421,0.0001,0.3,5,18.446,0.0,8.36,3.063,11.908,0.557,29250.497,0.125,0.711,1.119,1.119,1.083,2788.754,1.065,-0.04,-13.924
4,2804,0.0001,0.5,5,18.69,0.0,8.23,3.042,11.721,0.546,28628.733,0.137,0.761,1.125,1.125,1.083,3638.293,1.042,-0.037,-14.37
5,2421,0.0001,0.8,5,18.369,0.0,8.38,3.067,11.849,0.475,26208.38,0.199,0.881,1.134,1.134,1.094,6657.396,1.111,-0.038,-18.383
6,2421,0.0001,0.8500000000000001,5,18.363,0.0,8.39,3.068,11.896,0.44,24811.993,0.242,0.925,1.133,1.133,1.094,7067.749,1.176,-0.04,-20.537
7,6765,0.0001,0.1,5,18.456,0.0,8.4,3.07,11.791,0.565,29599.089,0.125,0.729,1.117,1.117,1.08,2408.915,1.065,-0.05,-13.515
8,9361,0.0001,0.05,5,18.884,0.0,8.65,3.113,11.955,0.557,29876.391,0.12,0.759,1.112,1.112,1.077,2742.031,1.068,-0.049,-14.038
9,2804,0.0001,0.6000000000000001,5,18.693,0.0,8.23,3.042,11.697,0.539,28355.28,0.142,0.776,1.125,1.125,1.083,4166.532,1.045,-0.037,-14.751
10,9361,0.0001,0.95,5,18.749,0.0,8.77,3.132,11.908,0.161,11893.637,0.676,1.0,1.125,1.125,1.087,7332.433,13.446,-0.09,-49.295
11,9361,0.0001,0.5,5,18.893,0.0,8.65,3.113,11.908,0.54,29191.351,0.135,0.797,1.112,1.112,1.077,4035.756,1.077,-0.05,-14.991
12,2804,0.0001,1.0,5,16.393,0.0,11.16,3.48,12.855,0.028,3859.18,0.936,1.0,0.916,0.916,0.922,7355.241,772.701,-4.079,-101.845
13,6765,0.0001,0.05,5,18.469,0.0,8.4,3.07,11.779,0.566,29629.342,0.124,0.727,1.116,1.116,1.08,2356.116,1.064,-0.05,-13.473
14,9361,0.0001,0.3,5,18.896,0.0,8.65,3.113,11.92,0.55,29603.519,0.125,0.773,1.112,1.112,1.077,3252.848,1.071,-0.049,-14.415
15,4872,0.0001,0.0,5,18.506,0.0,8.49,3.085,11.955,0.567,29611.571,0.112,0.699,1.117,1.117,1.08,2635.988,1.055,-0.042,-13.632
16,4872,0.0001,0.35,5,18.543,0.0,8.49,3.086,11.978,0.559,29321.582,0.12,0.717,1.117,1.117,1.08,3165.79,1.058,-0.043,-14.029
17,2421,0.0001,0.05,5,18.437,0.0,8.36,3.063,12.001,0.563,29506.249,0.119,0.699,1.119,1.119,1.083,2360.074,1.062,-0.04,-13.576
18,4872,0.0001,0.6000000000000001,5,18.517,0.0,8.49,3.086,11.99,0.546,28809.634,0.131,0.752,1.117,1.117,1.08,4136.383,1.066,-0.044,-14.737
19,4872,0.0001,0.9,5,18.5,0.0,8.52,3.09,11.838,0.343,20624.25,0.377,0.984,1.122,1.122,1.083,7286.864,3.669,-0.06,-27.774
20,2421,0.0001,0.55,5,18.467,0.0,8.36,3.063,12.001,0.542,28716.539,0.137,0.745,1.119,1.119,1.083,3767.432,1.071,-0.04,-14.663
21,4872,0.0001,0.1,5,18.532,0.0,8.49,3.086,11.92,0.566,29552.657,0.114,0.702,1.117,1.117,1.08,2741.403,1.055,-0.042,-13.714
22,6765,0.0001,0.95,5,18.566,0.0,8.49,3.085,11.674,0.147,10929.725,0.71,1.0,1.132,1.132,1.091,7332.502,8.48,-0.076,-51.029
23,9361,0.0001,0.35,5,18.896,0.0,8.65,3.113,11.943,0.548,29525.398,0.127,0.778,1.113,1.113,1.077,3405.047,1.072,-0.049,-14.525
24,6765,0.0001,0.8500000000000001,5,18.563,0.0,8.43,3.076,11.732,0.442,24928.352,0.246,0.932,1.125,1.125,1.083,7028.394,1.143,-0.055,-20.476
25,2804,0.0001,0.75,5,18.684,0.0,8.24,3.042,11.674,0.519,27563.846,0.165,0.816,1.125,1.125,1.083,5482.606,1.051,-0.038,-15.868
26,4872,0.0001,0.65,5,18.489,0.0,8.49,3.086,12.001,0.542,28622.74,0.134,0.763,1.117,1.117,1.08,4480.178,1.069,-0.044,-14.999
27,4872,0.0001,0.45,5,18.532,0.0,8.49,3.086,12.001,0.556,29172.135,0.122,0.729,1.117,1.117,1.08,3448.604,1.06,-0.043,-14.234
28,4872,0.0001,0.05,5,18.49,0.0,8.49,3.085,12.001,0.566,29584.37,0.113,0.7,1.117,1.117,1.082,2686.568,1.055,-0.042,-13.672
29,6765,0.0001,1.0,5,16.576,0.0,10.79,3.432,12.996,0.031,4276.161,0.929,1.0,0.939,0.939,0.938,7355.658,540.76,-2.926,-99.4
30,2421,0.0001,0.25,5,18.43,0.0,8.36,3.063,11.955,0.558,29317.805,0.123,0.708,1.119,1.119,1.083,2673.484,1.064,-0.04,-13.833
31,2804,0.0001,0.8500000000000001,5,18.7,0.0,8.25,3.044,11.639,0.432,24138.718,0.249,0.933,1.124,1.124,1.083,7101.374,1.12,-0.041,-21.091
32,2804,0.0001,0.8,5,18.722,0.0,8.24,3.043,11.627,0.467,25547.332,0.211,0.896,1.125,1.125,1.083,6769.392,1.078,-0.039,-18.897
33,6765,0.0001,0.55,5,18.447,0.0,8.4,3.071,11.849,0.55,29020.618,0.137,0.764,1.117,1.117,1.08,3489.831,1.071,-0.051,-14.315
34,4872,0.0001,0.75,5,18.498,0.0,8.5,3.087,11.92,0.526,28026.891,0.149,0.798,1.117,1.117,1.08,5433.137,1.081,-0.045,-15.84
35,2804,0.0001,0.0,5,18.74,0.0,8.23,3.041,11.674,0.562,29192.223,0.125,0.727,1.125,1.125,1.083,2561.266,1.04,-0.036,-13.593
36,2421,0.0001,0.0,5,18.419,0.0,8.36,3.063,11.931,0.564,29540.62,0.119,0.698,1.119,1.119,1.083,2303.442,1.062,-0.04,-13.528
37,2804,0.0001,0.7000000000000001,5,18.676,0.0,8.24,3.042,11.721,0.528,27913.63,0.156,0.799,1.125,1.125,1.083,4956.148,1.048,-0.038,-15.375
38,9361,0.0001,0.2,5,18.896,0.0,8.65,3.113,11.943,0.553,29732.9,0.123,0.766,1.112,1.112,1.077,3006.238,1.069,-0.049,-14.234
39,9361,0.0001,0.1,5,18.877,0.0,8.65,3.113,11.943,0.556,29833.566,0.12,0.761,1.113,1.113,1.077,2818.153,1.068,-0.049,-14.094
40,6765,0.0001,0.75,5,18.428,0.0,8.41,3.071,11.791,0.525,28116.86,0.159,0.815,1.116,1.116,1.081,5128.238,1.083,-0.053,-15.589
