,seed,beam,OSL weight,OSL Margin,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
49,9361,1000,1.0,0.0001,17.864,0.0,10.57,3.402,11.58,0.031,4259.093,0.932,1.0,1.097,1.097,1.074,7355.955,450.444,-2.482,-101.286
50,6765,1000,0.5,0.0001,17.188,0.0,8.4,3.071,11.662,0.553,29131.246,0.135,0.816,1.32,1.32,1.171,3271.971,1.07,-0.051,-14.159
51,6765,1000,0.25,0.0001,17.13,0.0,8.4,3.07,11.814,0.562,29482.659,0.127,0.795,1.359,1.359,1.171,2614.207,1.066,-0.05,-13.675
52,2804,1000,0.55,0.0001,17.357,0.0,8.23,3.042,11.557,0.543,28509.224,0.139,0.83,1.304,1.304,1.19,3871.502,1.044,-0.037,-14.536
53,2421,1000,0.2,0.0001,16.614,0.0,8.36,3.063,12.434,0.56,29370.847,0.121,0.769,1.491,1.491,1.188,2580.34,1.064,-0.04,-13.758
54,2421,1000,0.4,0.0001,16.845,0.0,8.36,3.063,12.025,0.553,29092.682,0.128,0.786,1.378,1.378,1.188,3071.821,1.067,-0.04,-14.142
55,6765,1000,0.35,0.0001,17.146,0.0,8.4,3.07,11.756,0.559,29374.212,0.129,0.802,1.342,1.342,1.171,2811.397,1.067,-0.051,-13.824
56,6765,1000,0.6000000000000001,0.0001,17.23,0.0,8.4,3.071,11.627,0.546,28872.837,0.14,0.83,1.305,1.305,1.174,3772.695,1.073,-0.052,-14.519
57,4872,1000,0.7000000000000001,0.0001,17.158,0.0,8.49,3.086,11.65,0.535,28374.144,0.14,0.839,1.299,1.299,1.188,4904.128,1.074,-0.044,-15.347
58,2804,1000,0.2,0.0001,17.181,0.0,8.23,3.041,11.767,0.558,29052.904,0.127,0.8,1.368,1.368,1.192,2818.835,1.04,-0.036,-13.785
59,4872,1000,0.3,0.0001,16.844,0.0,8.49,3.086,12.165,0.561,29382.892,0.118,0.777,1.435,1.435,1.19,3052.758,1.057,-0.043,-13.946
60,2421,1000,0.5,0.0001,16.888,0.0,8.36,3.063,11.908,0.546,28867.755,0.134,0.8,1.345,1.345,1.185,3488.346,1.07,-0.04,-14.455
61,2421,1000,0.6000000000000001,0.0001,16.946,0.0,8.36,3.063,11.732,0.538,28532.761,0.14,0.821,1.314,1.314,1.182,4109.058,1.074,-0.041,-14.922
62,9361,1000,0.7000000000000001,0.0001,17.913,0.0,8.66,3.114,11.604,0.517,28258.283,0.155,0.892,1.241,1.241,1.158,5509.788,1.093,-0.052,-16.323
63,4872,1000,0.5,0.0001,17.03,0.0,8.49,3.086,11.814,0.553,29077.53,0.123,0.797,1.352,1.352,1.188,3632.167,1.062,-0.043,-14.367
64,2421,1000,0.15,0.0001,16.598,0.0,8.36,3.063,12.539,0.561,29424.248,0.12,0.766,1.515,1.515,1.188,2494.2,1.063,-0.04,-13.688
65,2421,1000,0.95,0.0001,17.306,0.0,8.4,3.07,11.662,0.157,11559.772,0.696,1.0,1.257,1.257,1.182,7330.614,9.446,-0.066,-48.388
66,6765,1000,0.4,0.0001,17.135,0.0,8.4,3.071,11.709,0.558,29308.314,0.131,0.805,1.332,1.332,1.172,2935.405,1.068,-0.051,-13.915
67,2421,1000,0.9,0.0001,17.303,0.0,8.39,3.069,11.615,0.287,18224.036,0.459,0.998,1.256,1.256,1.182,7307.221,3.852,-0.054,-32.39
68,9361,1000,0.75,0.0001,17.941,0.0,8.66,3.114,11.557,0.505,27805.259,0.166,0.906,1.234,1.234,1.158,6014.716,1.102,-0.053,-16.983
69,9361,1000,0.4,0.0001,17.709,0.0,8.65,3.113,11.943,0.546,29433.772,0.129,0.838,1.332,1.332,1.16,3580.433,1.073,-0.05,-14.653
70,9361,1000,0.8500000000000001,0.0001,18.004,0.0,8.67,3.115,11.487,0.461,26042.534,0.213,0.956,1.224,1.224,1.156,6958.084,1.179,-0.058,-19.628
71,2804,1000,0.65,0.0001,17.353,0.0,8.24,3.042,11.487,0.534,28163.861,0.148,0.847,1.297,1.297,1.19,4523.03,1.046,-0.037,-15.02
72,6765,1000,0.7000000000000001,0.0001,17.246,0.0,8.4,3.071,11.51,0.535,28448.475,0.149,0.851,1.281,1.281,1.167,4566.529,1.078,-0.053,-15.116
73,4872,1000,0.95,0.0001,17.355,0.0,8.55,3.096,11.58,0.146,10816.846,0.709,1.0,1.262,1.262,1.184,7331.647,10.031,-0.074,-50.873
74,2804,1000,0.35,0.0001,17.2,0.0,8.23,3.042,11.709,0.553,28889.355,0.131,0.81,1.355,1.355,1.192,3130.08,1.041,-0.037,-14.01
75,2421,1000,0.45,0.0001,16.867,0.0,8.36,3.063,11.966,0.55,28988.847,0.131,0.793,1.366,1.366,1.185,3260.61,1.069,-0.04,-14.284
76,2421,1000,0.75,0.0001,17.089,0.0,8.36,3.063,11.744,0.487,26642.006,0.183,0.904,1.301,1.301,1.185,6306.301,1.099,-0.041,-17.681
77,9361,1000,0.15,0.0001,17.455,0.0,8.65,3.113,12.563,0.555,29786.213,0.121,0.82,1.467,1.467,1.163,2905.042,1.068,-0.049,-14.16
78,9361,1000,0.45,0.0001,17.721,0.0,8.65,3.113,11.896,0.543,29324.263,0.132,0.843,1.315,1.315,1.159,3787.941,1.075,-0.05,-14.805
79,2804,1000,0.3,0.0001,17.219,0.0,8.23,3.041,11.732,0.555,28949.228,0.131,0.806,1.357,1.357,1.19,3014.266,1.041,-0.037,-13.927
80,2421,1000,0.35,0.0001,16.782,0.0,8.36,3.063,12.165,0.555,29176.966,0.126,0.781,1.41,1.41,1.188,2919.766,1.066,-0.04,-14.026
81,9361,1000,0.9,0.0001,17.864,0.0,8.72,3.124,11.428,0.349,21382.057,0.357,0.995,1.232,1.232,1.167,7285.696,4.084,-0.064,-27.601
82,6765,1000,0.0,0.0001,16.979,0.0,8.4,3.07,12.06,0.567,29657.66,0.123,0.785,1.428,1.428,1.174,2308.181,1.064,-0.05,-13.434
