,OSL weight,seed,OSL Margin,beam,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
87,0.65,6765,0.0001,250,17.693,0.0,8.4,3.071,11.428,0.541,28689.516,0.144,0.83,1.233,1.233,1.154,4124.0,1.074,-0.052,-14.776
88,0.7000000000000001,2421,0.0001,250,17.471,0.0,8.36,3.064,11.721,0.523,27976.611,0.154,0.838,1.252,1.252,1.167,5059.307,1.086,-0.041,-15.71
89,0.15,6765,0.0001,250,17.644,0.0,8.4,3.07,11.545,0.564,29565.418,0.126,0.777,1.25,1.25,1.154,2465.209,1.065,-0.05,-13.56
90,0.2,6765,0.0001,250,17.654,0.0,8.4,3.07,11.545,0.563,29526.48,0.126,0.779,1.249,1.249,1.154,2534.716,1.065,-0.05,-13.614
91,0.65,2421,0.0001,250,17.452,0.0,8.36,3.064,11.721,0.525,28074.23,0.15,0.834,1.264,1.264,1.167,4794.279,1.078,-0.04,-15.601
92,0.2,4872,0.0001,250,17.594,0.0,8.49,3.085,11.65,0.564,29477.855,0.116,0.759,1.249,1.249,1.167,2876.273,1.056,-0.042,-13.815
93,0.1,2421,0.0001,250,17.434,0.0,8.36,3.063,11.826,0.562,29467.952,0.12,0.751,1.27,1.27,1.167,2421.967,1.063,-0.04,-13.628
94,0.8,6765,0.0001,250,17.738,0.0,8.41,3.072,11.346,0.513,27630.933,0.173,0.881,1.219,1.219,1.154,5810.865,1.093,-0.055,-16.293
95,1.0,2421,0.0001,250,17.373,0.0,11.43,3.515,11.124,0.031,4153.756,0.927,1.0,1.007,1.007,1.0,7355.616,812.544,-4.125,-99.667
96,0.95,2804,0.0001,250,17.884,0.0,8.27,3.048,11.218,0.159,11300.862,0.683,1.0,1.238,1.238,1.167,7330.108,5.83,-0.057,-48.243
97,0.6000000000000001,9361,0.0001,250,18.195,0.0,8.66,3.114,11.592,0.532,28838.429,0.142,0.861,1.21,1.21,1.143,4659.201,1.082,-0.051,-15.491
98,1.0,4872,0.0001,250,17.426,0.0,11.86,3.568,12.2,0.027,3792.856,0.937,1.0,1.041,1.041,1.0,7356.097,777.228,-4.275,-105.123
99,0.15,4872,0.0001,250,17.585,0.0,8.49,3.086,11.639,0.565,29517.426,0.115,0.755,1.252,1.252,1.167,2804.701,1.056,-0.042,-13.761
100,0.15,2804,0.0001,250,17.792,0.0,8.23,3.041,11.44,0.559,29093.349,0.126,0.785,1.259,1.259,1.167,2741.475,1.04,-0.036,-13.728
101,0.8500000000000001,4872,0.0001,250,17.76,0.0,8.5,3.088,11.557,0.431,24330.911,0.25,0.962,1.228,1.228,1.163,7099.192,1.369,-0.05,-21.414
102,0.0,9361,0.0001,250,18.065,0.0,8.65,3.113,11.756,0.558,29916.158,0.119,0.804,1.249,1.249,1.143,2671.509,1.067,-0.049,-13.984
103,0.9,6765,0.0001,250,17.743,0.0,8.46,3.08,11.335,0.309,19267.039,0.432,0.996,1.227,1.227,1.167,7299.398,2.393,-0.06,-30.565
104,0.4,2804,0.0001,250,17.792,0.0,8.23,3.042,11.393,0.552,28817.332,0.132,0.802,1.257,1.257,1.167,3270.474,1.041,-0.037,-14.11
105,0.25,4872,0.0001,250,17.564,0.0,8.49,3.086,11.639,0.562,29432.868,0.117,0.762,1.249,1.249,1.167,2960.468,1.057,-0.042,-13.878
