,OSL weight,seed,beam,OSL Margin,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
1,0.8,9361,100,0.0001,18.38,0.0,8.66,3.115,11.58,0.488,27131.436,0.183,0.915,1.185,1.185,1.133,6528.376,1.125,-0.055,-17.976
2,0.1,2804,100,0.0001,18.069,0.0,8.23,3.041,11.405,0.56,29132.717,0.126,0.775,1.224,1.224,1.154,2673.207,1.04,-0.036,-13.678
3,0.3,2421,100,0.0001,17.723,0.0,8.36,3.063,11.838,0.557,29250.497,0.125,0.757,1.224,1.224,1.148,2788.754,1.065,-0.04,-13.924
4,0.5,2804,100,0.0001,18.063,0.0,8.23,3.042,11.346,0.546,28628.733,0.137,0.805,1.222,1.222,1.154,3638.293,1.042,-0.037,-14.37
5,0.8,2421,100,0.0001,17.607,0.0,8.38,3.067,11.522,0.475,26208.38,0.199,0.913,1.229,1.229,1.167,6657.396,1.111,-0.038,-18.383
6,0.8500000000000001,2421,100,0.0001,17.594,0.0,8.39,3.068,11.569,0.44,24811.993,0.242,0.951,1.227,1.227,1.167,7067.749,1.176,-0.04,-20.537
7,0.1,6765,100,0.0001,17.889,0.0,8.4,3.07,11.475,0.565,29599.089,0.125,0.768,1.211,1.211,1.143,2408.915,1.065,-0.05,-13.515
8,0.05,9361,100,0.0001,18.33,0.0,8.65,3.113,11.686,0.557,29876.391,0.12,0.8,1.196,1.196,1.133,2742.031,1.068,-0.049,-14.038
9,0.6000000000000001,2804,100,0.0001,18.086,0.0,8.23,3.042,11.37,0.539,28355.28,0.142,0.819,1.221,1.221,1.154,4166.532,1.045,-0.037,-14.751
10,0.95,9361,100,0.0001,18.305,0.0,8.77,3.132,11.615,0.161,11893.637,0.676,1.0,1.195,1.195,1.143,7332.433,13.446,-0.09,-49.295
11,0.5,9361,100,0.0001,18.351,0.0,8.65,3.113,11.592,0.54,29191.351,0.135,0.836,1.188,1.188,1.133,4035.756,1.077,-0.05,-14.991
12,1.0,2804,100,0.0001,17.826,0.0,11.16,3.48,11.51,0.028,3859.18,0.936,1.0,1.0,1.0,1.0,7355.241,772.701,-4.079,-101.845
13,0.05,6765,100,0.0001,17.898,0.0,8.4,3.07,11.44,0.566,29629.342,0.124,0.766,1.21,1.21,1.143,2356.116,1.064,-0.05,-13.473
14,0.3,9361,100,0.0001,18.338,0.0,8.65,3.113,11.662,0.55,29603.519,0.125,0.813,1.192,1.192,1.133,3252.848,1.071,-0.049,-14.415
15,0.0,4872,100,0.0001,17.869,0.0,8.49,3.085,11.709,0.567,29611.571,0.112,0.74,1.219,1.219,1.15,2635.988,1.055,-0.042,-13.632
16,0.35,4872,100,0.0001,17.891,0.0,8.49,3.086,11.744,0.559,29321.582,0.12,0.76,1.217,1.217,1.15,3165.79,1.058,-0.043,-14.029
17,0.05,2421,100,0.0001,17.737,0.0,8.36,3.063,11.884,0.563,29506.249,0.119,0.743,1.228,1.228,1.147,2360.074,1.062,-0.04,-13.576
18,0.6000000000000001,4872,100,0.0001,17.862,0.0,8.49,3.086,11.767,0.546,28809.634,0.131,0.794,1.216,1.216,1.15,4136.383,1.066,-0.044,-14.737
