,beam,OSL Margin,OSL weight,seed,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
60,750,0.0001,0.5,2421,39.659,0.0,4.09,2.033,12.214,0.371,17493.375,0.323,0.986,1.105,1.105,1.05,5092.528,1.017,-0.018,-16.445
61,750,0.0001,0.6000000000000001,2421,39.76,0.0,4.09,2.033,12.19,0.359,17065.242,0.34,0.989,1.097,1.097,1.05,5785.329,1.019,-0.018,-17.15
62,750,0.0001,0.7000000000000001,9361,39.349,0.0,3.94,1.978,12.144,0.348,16105.386,0.369,0.988,1.104,1.104,1.056,6090.056,1.01,-0.013,-17.284
63,750,0.0001,0.5,4872,39.569,0.0,3.97,1.988,12.214,0.375,17167.061,0.324,0.975,1.1,1.1,1.05,4678.781,1.01,-0.013,-15.903
64,750,0.0001,0.15,2421,39.588,0.0,4.09,2.033,12.26,0.392,18230.207,0.295,0.976,1.128,1.128,1.05,3531.359,1.015,-0.017,-15.265
65,750,0.0001,0.95,2421,39.904,0.0,4.11,2.039,12.214,0.132,7761.637,0.756,1.0,1.087,1.087,1.05,7339.734,3.1,-0.027,-38.66
66,750,0.0001,0.4,6765,39.249,0.0,3.98,1.991,12.074,0.383,17355.301,0.296,0.964,1.112,1.112,1.053,4182.865,1.019,-0.013,-15.527
67,750,0.0001,0.9,2421,39.919,0.0,4.11,2.038,12.19,0.205,11153.362,0.613,1.0,1.087,1.087,1.05,7301.478,1.112,-0.024,-29.204
68,750,0.0001,0.75,9361,39.358,0.0,3.94,1.979,12.109,0.326,15361.578,0.397,0.993,1.1,1.1,1.054,6665.47,1.01,-0.013,-18.627
69,750,0.0001,0.4,9361,39.208,0.0,3.94,1.978,12.225,0.386,17407.572,0.315,0.974,1.125,1.125,1.056,3509.855,1.007,-0.012,-15.124
70,750,0.0001,0.8500000000000001,9361,39.628,0.0,3.95,1.981,12.132,0.258,12865.648,0.516,1.0,1.091,1.091,1.054,7221.491,1.022,-0.015,-23.546
71,750,0.0001,0.65,2804,39.242,0.0,3.96,1.984,12.039,0.343,15967.091,0.356,0.986,1.103,1.103,1.056,6163.065,1.01,-0.013,-17.782
