,beam,OSL weight,seed,OSL Margin,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
69,5,0.4,9361,0.0001,39.863,0.0,3.94,1.978,12.225,0.386,17407.572,0.315,0.966,1.073,1.073,1.043,3509.855,1.007,-0.012,-15.124
70,5,0.8500000000000001,9361,0.0001,39.887,0.0,3.95,1.981,12.19,0.258,12865.648,0.516,0.999,1.072,1.072,1.041,7221.491,1.022,-0.015,-23.546
71,5,0.65,2804,0.0001,39.758,0.0,3.96,1.984,12.132,0.343,15967.091,0.356,0.981,1.073,1.073,1.043,6163.065,1.01,-0.013,-17.782
72,5,0.7000000000000001,6765,0.0001,39.794,0.0,3.98,1.992,12.155,0.347,16097.134,0.346,0.977,1.069,1.069,1.038,6315.328,1.028,-0.013,-17.617
73,5,0.95,4872,0.0001,40.026,0.0,3.99,1.996,12.237,0.105,6232.636,0.808,1.0,1.071,1.071,1.04,7345.6,2.489,-0.018,-42.733
74,5,0.35,2804,0.0001,39.8,0.0,3.96,1.984,12.097,0.384,17367.216,0.304,0.956,1.069,1.069,1.038,3865.472,1.01,-0.013,-15.42
75,5,0.45,2421,0.0001,40.016,0.0,4.09,2.033,12.167,0.376,17651.661,0.316,0.978,1.068,1.068,1.038,4787.098,1.016,-0.018,-16.187
76,5,0.75,2421,0.0001,40.037,0.0,4.1,2.034,12.121,0.325,15825.827,0.392,0.995,1.065,1.065,1.034,6816.137,1.026,-0.019,-19.312
77,5,0.15,9361,0.0001,39.838,0.0,3.94,1.978,12.225,0.397,17809.823,0.3,0.957,1.073,1.073,1.043,2536.01,1.007,-0.012,-14.488
78,5,0.45,9361,0.0001,39.83,0.0,3.94,1.978,12.225,0.382,17281.427,0.321,0.969,1.073,1.073,1.043,3826.713,1.008,-0.012,-15.326
79,5,0.3,2804,0.0001,39.794,0.0,3.96,1.984,12.109,0.387,17471.874,0.299,0.954,1.069,1.069,1.038,3623.283,1.009,-0.013,-15.248
80,5,0.35,2421,0.0001,40.015,0.0,4.09,2.033,12.202,0.382,17900.46,0.307,0.975,1.068,1.068,1.038,4267.655,1.015,-0.017,-15.789
81,5,0.9,9361,0.0001,39.913,0.0,3.95,1.981,12.167,0.203,10711.129,0.625,1.0,1.072,1.072,1.042,7310.257,1.046,-0.016,-28.444
82,5,0.0,6765,0.0001,39.818,0.0,3.98,1.991,12.167,0.399,17895.828,0.279,0.946,1.069,1.069,1.038,2955.401,1.017,-0.012,-14.669
83,5,0.05,2804,0.0001,39.8,0.0,3.96,1.984,12.109,0.398,17841.364,0.286,0.947,1.069,1.069,1.038,2799.23,1.009,-0.013,-14.663
84,5,0.25,9361,0.0001,39.834,0.0,3.94,1.978,12.225,0.394,17679.795,0.305,0.961,1.073,1.073,1.043,2835.861,1.007,-0.012,-14.692
85,5,0.45,6765,0.0001,39.8,0.0,3.98,1.992,12.167,0.38,17233.541,0.3,0.959,1.069,1.069,1.038,4447.363,1.02,-0.013,-15.723
86,5,0.55,9361,0.0001,39.871,0.0,3.94,1.978,12.214,0.373,16956.769,0.333,0.973,1.073,1.073,1.043,4613.113,1.008,-0.013,-15.854
87,5,0.65,6765,0.0001,39.808,0.0,3.98,1.992,12.167,0.341,15924.957,0.35,0.98,1.07,1.07,1.04,6308.796,1.028,-0.013,-17.96
88,5,0.7000000000000001,2421,0.0001,40.035,0.0,4.09,2.033,12.144,0.34,16389.593,0.37,0.991,1.068,1.068,1.038,6489.617,1.023,-0.019,-18.299
89,5,0.15,6765,0.0001,39.824,0.0,3.98,1.991,12.167,0.395,17752.239,0.283,0.948,1.069,1.069,1.038,3280.598,1.018,-0.012,-14.896
90,5,0.2,6765,0.0001,39.807,0.0,3.98,1.991,12.144,0.393,17692.168,0.285,0.95,1.069,1.069,1.038,3414.277,1.018,-0.012,-14.988
91,5,0.65,2421,0.0001,40.025,0.0,4.09,2.033,12.167,0.351,16772.64,0.353,0.988,1.068,1.068,1.038,6143.098,1.021,-0.018,-17.644
92,5,0.2,4872,0.0001,39.933,0.0,3.97,1.988,12.237,0.392,17779.21,0.299,0.959,1.07,1.07,1.036,3307.737,1.009,-0.013,-14.925
93,5,0.1,2421,0.0001,40.031,0.0,4.09,2.033,12.202,0.394,18289.58,0.293,0.968,1.068,1.068,1.038,3398.766,1.014,-0.017,-15.172
94,5,0.8,6765,0.0001,39.81,0.0,3.98,1.992,12.179,0.289,14073.867,0.431,0.995,1.07,1.07,1.04,7127.29,1.057,-0.014,-21.368
95,5,1.0,2421,0.0001,35.451,0.0,5.27,2.399,12.295,0.014,1680.146,0.968,1.0,0.922,0.922,0.955,7367.343,917.776,-3.756,-90.828
96,5,0.95,2804,0.0001,39.692,0.0,3.96,1.987,12.179,0.116,6768.235,0.775,1.0,1.074,1.074,1.045,7342.894,1.98,-0.019,-40.171
97,5,0.6000000000000001,9361,0.0001,39.849,0.0,3.94,1.978,12.225,0.367,16739.753,0.342,0.977,1.073,1.073,1.042,5078.145,1.009,-0.013,-16.212
98,5,1.0,4872,0.0001,36.058,0.0,5.05,2.335,12.481,0.013,1596.412,0.967,1.0,0.937,0.937,0.964,7367.213,761.225,-3.02,-90.043
99,5,0.15,4872,0.0001,39.935,0.0,3.97,1.988,12.225,0.394,17841.021,0.296,0.958,1.07,1.07,1.037,3169.605,1.009,-0.013,-14.828
100,5,0.15,2804,0.0001,39.77,0.0,3.96,1.984,12.121,0.394,17717.359,0.289,0.949,1.069,1.069,1.038,3068.513,1.009,-0.013,-14.858
101,5,0.8500000000000001,4872,0.0001,40.025,0.0,3.98,1.992,12.167,0.256,12976.847,0.521,0.999,1.07,1.07,1.037,7244.092,1.02,-0.015,-23.783
102,5,0.0,9361,0.0001,39.853,0.0,3.94,1.978,12.214,0.402,17956.936,0.294,0.953,1.073,1.073,1.042,2218.429,1.008,-0.012,-14.257
103,5,0.9,6765,0.0001,39.767,0.0,3.99,1.995,12.225,0.166,9177.396,0.652,1.0,1.073,1.073,1.042,7309.176,2.582,-0.015,-33.007
104,5,0.4,2804,0.0001,39.789,0.0,3.96,1.984,12.121,0.38,17242.628,0.308,0.959,1.069,1.069,1.038,4141.68,1.01,-0.013,-15.621
105,5,0.25,4872,0.0001,39.918,0.0,3.97,1.988,12.225,0.391,17708.495,0.301,0.96,1.07,1.07,1.037,3465.277,1.009,-0.013,-15.035
