,seed,beam,OSL weight,OSL Margin,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
68,9361,500,0.75,0.0001,39.438,0.0,3.94,1.979,12.097,0.326,15361.578,0.397,0.992,1.095,1.095,1.053,6665.47,1.01,-0.013,-18.627
69,9361,500,0.4,0.0001,39.299,0.0,3.94,1.978,12.19,0.386,17407.572,0.315,0.973,1.114,1.114,1.056,3509.855,1.007,-0.012,-15.124
70,9361,500,0.8500000000000001,0.0001,39.652,0.0,3.95,1.981,12.132,0.258,12865.648,0.516,1.0,1.087,1.087,1.053,7221.491,1.022,-0.015,-23.546
71,2804,500,0.65,0.0001,39.266,0.0,3.96,1.984,12.016,0.343,15967.091,0.356,0.986,1.099,1.099,1.056,6163.065,1.01,-0.013,-17.782
72,6765,500,0.7000000000000001,0.0001,39.437,0.0,3.98,1.992,12.039,0.347,16097.134,0.346,0.983,1.088,1.088,1.053,6315.328,1.028,-0.013,-17.617
73,4872,500,0.95,0.0001,39.762,0.0,3.99,1.996,12.272,0.105,6232.636,0.808,1.0,1.088,1.088,1.05,7345.6,2.489,-0.018,-42.733
74,2804,500,0.35,0.0001,39.31,0.0,3.96,1.984,11.981,0.384,17367.216,0.304,0.964,1.113,1.113,1.053,3865.472,1.01,-0.013,-15.42
75,2421,500,0.45,0.0001,39.708,0.0,4.09,2.033,12.214,0.376,17651.661,0.316,0.984,1.101,1.101,1.05,4787.098,1.016,-0.018,-16.187
76,2421,500,0.75,0.0001,39.869,0.0,4.1,2.034,12.132,0.325,15825.827,0.392,0.997,1.087,1.087,1.048,6816.137,1.026,-0.019,-19.312
77,9361,500,0.15,0.0001,39.224,0.0,3.94,1.978,12.237,0.397,17809.823,0.3,0.966,1.127,1.127,1.056,2536.01,1.007,-0.012,-14.488
78,9361,500,0.45,0.0001,39.309,0.0,3.94,1.978,12.167,0.382,17281.427,0.321,0.975,1.112,1.112,1.056,3826.713,1.008,-0.012,-15.326
79,2804,500,0.3,0.0001,39.3,0.0,3.96,1.984,12.027,0.387,17471.874,0.299,0.962,1.113,1.113,1.053,3623.283,1.009,-0.013,-15.248
80,2421,500,0.35,0.0001,39.649,0.0,4.09,2.033,12.214,0.382,17900.46,0.307,0.98,1.105,1.105,1.05,4267.655,1.015,-0.017,-15.789
81,9361,500,0.9,0.0001,39.646,0.0,3.95,1.981,12.121,0.203,10711.129,0.625,1.0,1.087,1.087,1.055,7310.257,1.046,-0.016,-28.444
82,6765,500,0.0,0.0001,39.242,0.0,3.98,1.991,12.109,0.399,17895.828,0.279,0.954,1.114,1.114,1.053,2955.401,1.017,-0.012,-14.669
83,2804,500,0.05,0.0001,39.195,0.0,3.96,1.984,12.097,0.398,17841.364,0.286,0.956,1.131,1.131,1.053,2799.23,1.009,-0.013,-14.663
84,9361,500,0.25,0.0001,39.27,0.0,3.94,1.978,12.214,0.394,17679.795,0.305,0.969,1.122,1.122,1.056,2835.861,1.007,-0.012,-14.692
85,6765,500,0.45,0.0001,39.335,0.0,3.98,1.992,12.074,0.38,17233.541,0.3,0.966,1.106,1.106,1.053,4447.363,1.02,-0.013,-15.723
86,9361,500,0.55,0.0001,39.345,0.0,3.94,1.978,12.167,0.373,16956.769,0.333,0.98,1.107,1.107,1.056,4613.113,1.008,-0.013,-15.854
87,6765,500,0.65,0.0001,39.563,0.0,3.98,1.992,12.097,0.341,15924.957,0.35,0.984,1.089,1.089,1.053,6308.796,1.028,-0.013,-17.96
88,2421,500,0.7000000000000001,0.0001,39.816,0.0,4.09,2.033,12.167,0.34,16389.593,0.37,0.994,1.089,1.089,1.05,6489.617,1.023,-0.019,-18.299
89,6765,500,0.15,0.0001,39.269,0.0,3.98,1.991,12.097,0.395,17752.239,0.283,0.956,1.111,1.111,1.053,3280.598,1.018,-0.012,-14.896
90,6765,500,0.2,0.0001,39.263,0.0,3.98,1.991,12.097,0.393,17692.168,0.285,0.958,1.111,1.111,1.053,3414.277,1.018,-0.012,-14.988
