,seed,beam,OSL Margin,OSL weight,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
42,4872,100,0.0001,0.55,39.718,0.0,3.97,1.988,12.179,0.369,16995.993,0.331,0.977,1.083,1.083,1.048,5035.699,1.009,-0.013,-16.184
43,9361,100,0.0001,0.65,39.59,0.0,3.94,1.978,12.155,0.358,16463.997,0.353,0.984,1.089,1.089,1.053,5579.312,1.009,-0.013,-16.672
44,2804,100,0.0001,0.45,39.511,0.0,3.96,1.984,11.969,0.376,17097.106,0.312,0.967,1.089,1.089,1.05,4452.917,1.01,-0.013,-15.857
45,4872,100,0.0001,0.4,39.716,0.0,3.97,1.988,12.19,0.382,17435.483,0.313,0.971,1.084,1.084,1.048,4086.783,1.009,-0.013,-15.47
46,4872,100,0.0001,0.8,39.759,0.0,3.97,1.988,12.19,0.313,15059.943,0.422,0.996,1.082,1.082,1.048,6961.946,1.013,-0.014,-19.537
47,2804,100,0.0001,0.9,39.508,0.0,3.96,1.986,12.039,0.187,10068.082,0.629,1.0,1.087,1.087,1.056,7320.742,1.841,-0.017,-30.299
48,6765,100,0.0001,0.3,39.488,0.0,3.98,1.991,12.062,0.389,17546.973,0.29,0.958,1.085,1.085,1.05,3753.685,1.019,-0.012,-15.224
49,9361,100,0.0001,1.0,38.557,0.0,4.76,2.252,12.074,0.016,1762.924,0.961,1.0,1.008,1.008,1.0,7366.225,320.103,-1.794,-85.111
50,6765,100,0.0001,0.5,39.503,0.0,3.98,1.992,12.051,0.376,17090.943,0.306,0.966,1.085,1.085,1.05,4747.234,1.02,-0.013,-15.955
51,6765,100,0.0001,0.25,39.497,0.0,3.98,1.991,12.051,0.391,17624.195,0.287,0.956,1.086,1.086,1.05,3572.505,1.018,-0.012,-15.098
52,2804,100,0.0001,0.55,39.527,0.0,3.96,1.984,11.993,0.365,16717.034,0.325,0.973,1.086,1.086,1.05,5184.434,1.011,-0.014,-16.485
53,2421,100,0.0001,0.2,39.832,0.0,4.09,2.033,12.179,0.39,18160.744,0.298,0.975,1.088,1.088,1.05,3686.646,1.015,-0.017,-15.374
54,2421,100,0.0001,0.4,39.83,0.0,4.09,2.033,12.179,0.379,17786.442,0.311,0.981,1.087,1.087,1.049,4510.289,1.016,-0.017,-15.97
55,6765,100,0.0001,0.35,39.506,0.0,3.98,1.992,12.062,0.386,17458.674,0.293,0.96,1.085,1.085,1.05,3954.681,1.019,-0.013,-15.364
56,6765,100,0.0001,0.6000000000000001,39.531,0.0,3.98,1.992,12.062,0.365,16708.386,0.322,0.974,1.084,1.084,1.05,5463.171,1.023,-0.013,-16.583
57,4872,100,0.0001,0.7000000000000001,39.722,0.0,3.97,1.988,12.19,0.345,16175.27,0.367,0.988,1.083,1.083,1.048,6282.169,1.011,-0.013,-17.56
58,2804,100,0.0001,0.2,39.469,0.0,3.96,1.984,11.981,0.392,17647.345,0.293,0.957,1.097,1.097,1.05,3225.065,1.009,-0.013,-14.969
59,4872,100,0.0001,0.3,39.737,0.0,3.97,1.988,12.202,0.388,17630.108,0.305,0.967,1.085,1.085,1.048,3644.518,1.009,-0.013,-15.159
60,2421,100,0.0001,0.5,39.851,0.0,4.09,2.033,12.179,0.371,17493.375,0.323,0.984,1.086,1.086,1.049,5092.528,1.017,-0.018,-16.445
61,2421,100,0.0001,0.6000000000000001,39.888,0.0,4.09,2.033,12.155,0.359,17065.242,0.34,0.989,1.085,1.085,1.049,5785.329,1.019,-0.018,-17.15
62,9361,100,0.0001,0.7000000000000001,39.576,0.0,3.94,1.978,12.167,0.348,16105.386,0.369,0.988,1.087,1.087,1.053,6090.056,1.01,-0.013,-17.284
63,4872,100,0.0001,0.5,39.738,0.0,3.97,1.988,12.19,0.375,17167.061,0.324,0.975,1.084,1.084,1.048,4678.781,1.01,-0.013,-15.903
64,2421,100,0.0001,0.15,39.837,0.0,4.09,2.033,12.19,0.392,18230.207,0.295,0.974,1.087,1.087,1.05,3531.359,1.015,-0.017,-15.265
65,2421,100,0.0001,0.95,39.984,0.0,4.11,2.039,12.214,0.132,7761.637,0.756,1.0,1.082,1.082,1.05,7339.734,3.1,-0.027,-38.66
66,6765,100,0.0001,0.4,39.503,0.0,3.98,1.991,12.051,0.383,17355.301,0.296,0.962,1.086,1.086,1.05,4182.865,1.019,-0.013,-15.527
67,2421,100,0.0001,0.9,40.009,0.0,4.11,2.038,12.202,0.205,11153.362,0.613,1.0,1.084,1.084,1.048,7301.478,1.112,-0.024,-29.204
68,9361,100,0.0001,0.75,39.572,0.0,3.94,1.979,12.109,0.326,15361.578,0.397,0.992,1.086,1.086,1.053,6665.47,1.01,-0.013,-18.627
69,9361,100,0.0001,0.4,39.54,0.0,3.94,1.978,12.132,0.386,17407.572,0.315,0.971,1.092,1.092,1.053,3509.855,1.007,-0.012,-15.124
70,9361,100,0.0001,0.8500000000000001,39.694,0.0,3.95,1.981,12.155,0.258,12865.648,0.516,0.999,1.085,1.085,1.053,7221.491,1.022,-0.015,-23.546
71,2804,100,0.0001,0.65,39.439,0.0,3.96,1.984,12.062,0.343,15967.091,0.356,0.985,1.088,1.088,1.053,6163.065,1.01,-0.013,-17.782
72,6765,100,0.0001,0.7000000000000001,39.533,0.0,3.98,1.992,12.074,0.347,16097.134,0.346,0.982,1.082,1.082,1.05,6315.328,1.028,-0.013,-17.617
73,4872,100,0.0001,0.95,39.824,0.0,3.99,1.996,12.26,0.105,6232.636,0.808,1.0,1.083,1.083,1.048,7345.6,2.489,-0.018,-42.733
74,2804,100,0.0001,0.35,39.518,0.0,3.96,1.984,11.934,0.384,17367.216,0.304,0.962,1.09,1.09,1.05,3865.472,1.01,-0.013,-15.42
75,2421,100,0.0001,0.45,39.847,0.0,4.09,2.033,12.167,0.376,17651.661,0.316,0.983,1.086,1.086,1.05,4787.098,1.016,-0.018,-16.187
76,2421,100,0.0001,0.75,39.936,0.0,4.1,2.034,12.155,0.325,15825.827,0.392,0.997,1.082,1.082,1.047,6816.137,1.026,-0.019,-19.312
77,9361,100,0.0001,0.15,39.485,0.0,3.94,1.978,12.155,0.397,17809.823,0.3,0.963,1.097,1.097,1.053,2536.01,1.007,-0.012,-14.488
78,9361,100,0.0001,0.45,39.522,0.0,3.94,1.978,12.144,0.382,17281.427,0.321,0.973,1.092,1.092,1.053,3826.713,1.008,-0.012,-15.326
79,2804,100,0.0001,0.3,39.501,0.0,3.96,1.984,11.969,0.387,17471.874,0.299,0.96,1.091,1.091,1.05,3623.283,1.009,-0.013,-15.248
80,2421,100,0.0001,0.35,39.825,0.0,4.09,2.033,12.167,0.382,17900.46,0.307,0.979,1.087,1.087,1.049,4267.655,1.015,-0.017,-15.789
81,9361,100,0.0001,0.9,39.67,0.0,3.95,1.981,12.144,0.203,10711.129,0.625,1.0,1.085,1.085,1.053,7310.257,1.046,-0.016,-28.444
