,OSL Margin,beam,seed,OSL weight,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
66,0.0001,1000,6765,0.4,39.179,0.0,3.98,1.991,12.086,0.383,17355.301,0.296,0.964,1.116,1.116,1.053,4182.865,1.019,-0.013,-15.527
67,0.0001,1000,2421,0.9,39.908,0.0,4.11,2.038,12.19,0.205,11153.362,0.613,1.0,1.089,1.089,1.05,7301.478,1.112,-0.024,-29.204
68,0.0001,1000,9361,0.75,39.352,0.0,3.94,1.979,12.121,0.326,15361.578,0.397,0.993,1.102,1.102,1.054,6665.47,1.01,-0.013,-18.627
69,0.0001,1000,9361,0.4,39.196,0.0,3.94,1.978,12.214,0.386,17407.572,0.315,0.974,1.126,1.126,1.056,3509.855,1.007,-0.012,-15.124
70,0.0001,1000,9361,0.8500000000000001,39.617,0.0,3.95,1.981,12.132,0.258,12865.648,0.516,1.0,1.092,1.092,1.055,7221.491,1.022,-0.015,-23.546
71,0.0001,1000,2804,0.65,39.201,0.0,3.96,1.984,12.074,0.343,15967.091,0.356,0.986,1.116,1.116,1.056,6163.065,1.01,-0.013,-17.782
72,0.0001,1000,6765,0.7000000000000001,39.382,0.0,3.98,1.992,12.027,0.347,16097.134,0.346,0.983,1.093,1.093,1.053,6315.328,1.028,-0.013,-17.617
73,0.0001,1000,4872,0.95,39.737,0.0,3.99,1.996,12.26,0.105,6232.636,0.808,1.0,1.089,1.089,1.05,7345.6,2.489,-0.018,-42.733
74,0.0001,1000,2804,0.35,39.162,0.0,3.96,1.984,12.062,0.384,17367.216,0.304,0.965,1.134,1.134,1.053,3865.472,1.01,-0.013,-15.42
75,0.0001,1000,2421,0.45,39.626,0.0,4.09,2.033,12.225,0.376,17651.661,0.316,0.984,1.115,1.115,1.05,4787.098,1.016,-0.018,-16.187
76,0.0001,1000,2421,0.75,39.869,0.0,4.1,2.034,12.132,0.325,15825.827,0.392,0.997,1.089,1.089,1.048,6816.137,1.026,-0.019,-19.312
77,0.0001,1000,9361,0.15,38.899,0.0,3.94,1.978,12.353,0.397,17809.823,0.3,0.967,1.195,1.195,1.056,2536.01,1.007,-0.012,-14.488
78,0.0001,1000,9361,0.45,39.187,0.0,3.94,1.978,12.202,0.382,17281.427,0.321,0.975,1.126,1.126,1.056,3826.713,1.008,-0.012,-15.326
79,0.0001,1000,2804,0.3,39.107,0.0,3.96,1.984,12.109,0.387,17471.874,0.299,0.963,1.144,1.144,1.053,3623.283,1.009,-0.013,-15.248
80,0.0001,1000,2421,0.35,39.581,0.0,4.09,2.033,12.225,0.382,17900.46,0.307,0.98,1.118,1.118,1.05,4267.655,1.015,-0.017,-15.789
81,0.0001,1000,9361,0.9,39.612,0.0,3.95,1.981,12.109,0.203,10711.129,0.625,1.0,1.088,1.088,1.056,7310.257,1.046,-0.016,-28.444
82,0.0001,1000,6765,0.0,39.097,0.0,3.98,1.991,12.144,0.399,17895.828,0.279,0.954,1.131,1.131,1.053,2955.401,1.017,-0.012,-14.669
83,0.0001,1000,2804,0.05,38.871,0.0,3.96,1.984,12.248,0.398,17841.364,0.286,0.958,1.21,1.21,1.055,2799.23,1.009,-0.013,-14.663
84,0.0001,1000,9361,0.25,39.039,0.0,3.94,1.978,12.26,0.394,17679.795,0.305,0.97,1.166,1.166,1.056,2835.861,1.007,-0.012,-14.692
85,0.0001,1000,6765,0.45,39.175,0.0,3.98,1.992,12.086,0.38,17233.541,0.3,0.966,1.117,1.117,1.053,4447.363,1.02,-0.013,-15.723
86,0.0001,1000,9361,0.55,39.228,0.0,3.94,1.978,12.155,0.373,16956.769,0.333,0.98,1.117,1.117,1.056,4613.113,1.008,-0.013,-15.854
87,0.0001,1000,6765,0.65,39.475,0.0,3.98,1.992,12.097,0.341,15924.957,0.35,0.984,1.097,1.097,1.053,6308.796,1.028,-0.013,-17.96
88,0.0001,1000,2421,0.7000000000000001,39.759,0.0,4.09,2.033,12.179,0.34,16389.593,0.37,0.994,1.095,1.095,1.05,6489.617,1.023,-0.019,-18.299
89,0.0001,1000,6765,0.15,39.138,0.0,3.98,1.991,12.121,0.395,17752.239,0.283,0.957,1.125,1.125,1.053,3280.598,1.018,-0.012,-14.896
90,0.0001,1000,6765,0.2,39.134,0.0,3.98,1.991,12.109,0.393,17692.168,0.285,0.958,1.122,1.122,1.053,3414.277,1.018,-0.012,-14.988
91,0.0001,1000,2421,0.65,39.74,0.0,4.09,2.033,12.179,0.351,16772.64,0.353,0.991,1.096,1.096,1.05,6143.098,1.021,-0.018,-17.644
92,0.0001,1000,4872,0.2,39.126,0.0,3.97,1.988,12.504,0.392,17779.21,0.299,0.967,1.201,1.201,1.051,3307.737,1.009,-0.013,-14.925
93,0.0001,1000,2421,0.1,39.388,0.0,4.09,2.033,12.342,0.394,18289.58,0.293,0.976,1.172,1.172,1.051,3398.766,1.014,-0.017,-15.172
94,0.0001,1000,6765,0.8,39.539,0.0,3.98,1.992,12.086,0.289,14073.867,0.431,0.996,1.087,1.087,1.053,7127.29,1.057,-0.014,-21.368
95,0.0001,1000,2421,1.0,37.251,0.0,5.27,2.399,11.934,0.014,1680.146,0.968,1.0,0.965,0.965,1.0,7367.343,917.776,-3.756,-90.828
96,0.0001,1000,2804,0.95,39.415,0.0,3.96,1.987,12.074,0.116,6768.235,0.775,1.0,1.09,1.09,1.056,7342.894,1.98,-0.019,-40.171
97,0.0001,1000,9361,0.6000000000000001,39.257,0.0,3.94,1.978,12.167,0.367,16739.753,0.342,0.982,1.115,1.115,1.056,5078.145,1.009,-0.013,-16.212
98,0.0001,1000,4872,1.0,37.847,0.0,5.05,2.335,12.353,0.013,1596.412,0.967,1.0,0.992,0.992,1.0,7367.213,761.225,-3.02,-90.043
99,0.0001,1000,4872,0.15,39.008,0.0,3.97,1.988,12.609,0.394,17841.021,0.296,0.966,1.23,1.23,1.05,3169.605,1.009,-0.013,-14.828
100,0.0001,1000,2804,0.15,38.928,0.0,3.96,1.984,12.19,0.394,17717.359,0.289,0.96,1.198,1.198,1.053,3068.513,1.009,-0.013,-14.858
101,0.0001,1000,4872,0.8500000000000001,39.744,0.0,3.98,1.992,12.179,0.256,12976.847,0.521,0.999,1.092,1.092,1.05,7244.092,1.02,-0.015,-23.783
102,0.0001,1000,9361,0.0,38.73,0.0,3.94,1.978,12.493,0.402,17956.936,0.294,0.965,1.241,1.241,1.056,2218.429,1.008,-0.012,-14.257
103,0.0001,1000,6765,0.9,39.468,0.0,3.99,1.995,12.179,0.166,9177.396,0.652,1.0,1.092,1.092,1.054,7309.176,2.582,-0.015,-33.007
104,0.0001,1000,2804,0.4,39.211,0.0,3.96,1.984,12.097,0.38,17242.628,0.308,0.968,1.128,1.128,1.053,4141.68,1.01,-0.013,-15.621
105,0.0001,1000,4872,0.25,39.225,0.0,3.97,1.988,12.458,0.391,17708.495,0.301,0.968,1.178,1.178,1.05,3465.277,1.009,-0.013,-15.035
