,OSL weight,OSL Margin,beam,seed,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
45,0.4,0.0001,250,4872,39.663,0.0,3.97,1.988,12.214,0.382,17435.483,0.313,0.971,1.091,1.091,1.049,4086.783,1.009,-0.013,-15.47
46,0.8,0.0001,250,4872,39.723,0.0,3.97,1.988,12.202,0.313,15059.943,0.422,0.996,1.088,1.088,1.048,6961.946,1.013,-0.014,-19.537
47,0.9,0.0001,250,2804,39.459,0.0,3.96,1.986,12.016,0.187,10068.082,0.629,1.0,1.089,1.089,1.056,7320.742,1.841,-0.017,-30.299
48,0.3,0.0001,250,6765,39.4,0.0,3.98,1.991,12.086,0.389,17546.973,0.29,0.959,1.097,1.097,1.051,3753.685,1.019,-0.012,-15.224
49,1.0,0.0001,250,9361,38.568,0.0,4.76,2.252,12.097,0.016,1762.924,0.961,1.0,1.012,1.012,1.0,7366.225,320.103,-1.794,-85.111
50,0.5,0.0001,250,6765,39.454,0.0,3.98,1.992,12.039,0.376,17090.943,0.306,0.967,1.087,1.087,1.051,4747.234,1.02,-0.013,-15.955
51,0.25,0.0001,250,6765,39.397,0.0,3.98,1.991,12.097,0.391,17624.195,0.287,0.958,1.102,1.102,1.053,3572.505,1.018,-0.012,-15.098
52,0.55,0.0001,250,2804,39.417,0.0,3.96,1.984,11.969,0.365,16717.034,0.325,0.974,1.095,1.095,1.053,5184.434,1.011,-0.014,-16.485
53,0.2,0.0001,250,2421,39.728,0.0,4.09,2.033,12.214,0.39,18160.744,0.298,0.976,1.099,1.099,1.05,3686.646,1.015,-0.017,-15.374
54,0.4,0.0001,250,2421,39.747,0.0,4.09,2.033,12.19,0.379,17786.442,0.311,0.982,1.095,1.095,1.05,4510.289,1.016,-0.017,-15.97
55,0.35,0.0001,250,6765,39.43,0.0,3.98,1.992,12.074,0.386,17458.674,0.293,0.961,1.094,1.094,1.051,3954.681,1.019,-0.013,-15.364
56,0.6000000000000001,0.0001,250,6765,39.477,0.0,3.98,1.992,12.039,0.365,16708.386,0.322,0.974,1.087,1.087,1.051,5463.171,1.023,-0.013,-16.583
