,beam,OSL Margin,OSL weight,seed,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
53,100,0.0001,0.2,2421,33.788,0.0,4.97,2.313,12.204,0.429,19908.262,0.255,0.943,1.119,1.119,1.077,3606.405,1.223,-0.015,-15.025
54,100,0.0001,0.4,2421,33.805,0.0,4.97,2.313,12.192,0.421,19617.682,0.265,0.952,1.117,1.117,1.077,4269.392,1.348,-0.015,-15.497
55,100,0.0001,0.35,6765,34.005,0.0,4.99,2.319,12.204,0.429,19923.98,0.259,0.948,1.116,1.116,1.071,3911.249,1.046,-0.014,-15.13
56,100,0.0001,0.6000000000000001,6765,34.099,0.0,4.99,2.32,12.229,0.411,19335.954,0.282,0.964,1.114,1.114,1.071,5206.557,1.106,-0.014,-16.099
57,100,0.0001,0.7000000000000001,4872,33.973,0.0,4.98,2.316,12.13,0.371,17851.974,0.314,0.975,1.119,1.119,1.083,6378.579,1.055,-0.016,-18.396
58,100,0.0001,0.2,2804,33.948,0.0,5.02,2.328,12.18,0.435,20154.922,0.255,0.946,1.122,1.122,1.077,3294.345,1.025,-0.015,-14.801
59,100,0.0001,0.3,4872,33.792,0.0,4.98,2.315,12.254,0.431,19866.91,0.243,0.931,1.132,1.132,1.083,3328.585,1.02,-0.015,-14.945
60,100,0.0001,0.5,2421,33.825,0.0,4.97,2.313,12.204,0.415,19390.859,0.275,0.957,1.117,1.117,1.077,4764.267,1.478,-0.015,-15.872
61,100,0.0001,0.6000000000000001,2421,33.843,0.0,4.97,2.314,12.155,0.405,19056.962,0.289,0.966,1.117,1.117,1.077,5405.361,1.642,-0.015,-16.43
62,100,0.0001,0.7000000000000001,9361,33.844,0.0,5.03,2.332,12.019,0.401,18928.896,0.301,0.975,1.118,1.118,1.079,5851.222,1.055,-0.016,-16.741
63,100,0.0001,0.5,4872,33.818,0.0,4.98,2.315,12.254,0.417,19386.332,0.258,0.946,1.127,1.127,1.083,4377.896,1.024,-0.015,-15.735
64,100,0.0001,0.15,2421,33.797,0.0,4.97,2.313,12.229,0.431,19960.129,0.252,0.941,1.122,1.122,1.077,3486.894,1.203,-0.015,-14.941
65,100,0.0001,0.95,2421,34.055,0.0,4.99,2.32,12.105,0.14,8514.785,0.739,1.0,1.115,1.115,1.077,7312.814,4.123,-0.021,-40.843
66,100,0.0001,0.4,6765,34.045,0.0,4.99,2.319,12.217,0.426,19843.905,0.262,0.951,1.114,1.114,1.071,4098.89,1.051,-0.014,-15.262
67,100,0.0001,0.9,2421,34.05,0.0,4.99,2.319,12.118,0.231,12676.845,0.563,1.0,1.114,1.114,1.077,7290.031,1.997,-0.018,-29.376
68,100,0.0001,0.75,9361,34.12,0.0,5.03,2.332,12.068,0.376,18051.334,0.331,0.986,1.11,1.11,1.074,6557.536,1.118,-0.019,-18.303
69,100,0.0001,0.4,9361,33.798,0.0,5.03,2.331,12.031,0.428,19812.401,0.264,0.956,1.13,1.13,1.079,4141.384,1.027,-0.015,-15.265
70,100,0.0001,0.8500000000000001,9361,34.112,0.0,5.05,2.335,12.081,0.31,15719.748,0.436,0.997,1.11,1.11,1.077,7184.429,1.846,-0.019,-22.816
71,100,0.0001,0.65,2804,34.149,0.0,5.02,2.328,12.167,0.39,18622.849,0.308,0.974,1.112,1.112,1.077,5937.647,1.154,-0.016,-17.385
72,100,0.0001,0.7000000000000001,6765,34.145,0.0,5.01,2.325,12.167,0.384,18456.746,0.32,0.982,1.108,1.108,1.071,6359.526,1.437,-0.016,-17.733
73,100,0.0001,0.95,4872,33.943,0.0,4.99,2.32,12.266,0.128,7888.9,0.748,1.0,1.116,1.116,1.083,7307.351,4.766,-0.024,-43.056
74,100,0.0001,0.35,2804,33.937,0.0,5.02,2.328,12.204,0.429,19939.467,0.261,0.952,1.122,1.122,1.077,3779.397,1.028,-0.015,-15.147
75,100,0.0001,0.45,2421,33.804,0.0,4.97,2.313,12.192,0.418,19513.329,0.27,0.955,1.117,1.117,1.077,4500.26,1.398,-0.015,-15.668
76,100,0.0001,0.75,2421,33.926,0.0,4.98,2.316,12.155,0.361,17576.176,0.347,0.986,1.121,1.121,1.078,6757.354,1.886,-0.014,-19.095
77,100,0.0001,0.15,9361,33.784,0.0,5.03,2.331,12.056,0.436,20090.45,0.254,0.948,1.141,1.141,1.079,3498.258,1.022,-0.015,-14.815
78,100,0.0001,0.45,9361,33.82,0.0,5.03,2.331,12.019,0.425,19726.575,0.267,0.958,1.123,1.123,1.079,4336.849,1.03,-0.015,-15.406
79,100,0.0001,0.3,2804,33.965,0.0,5.02,2.328,12.192,0.431,20018.451,0.259,0.95,1.122,1.122,1.077,3598.129,1.027,-0.015,-15.018
80,100,0.0001,0.35,2421,33.795,0.0,4.97,2.313,12.204,0.424,19709.785,0.262,0.949,1.119,1.119,1.077,4066.588,1.305,-0.015,-15.35
81,100,0.0001,0.9,9361,34.099,0.0,5.05,2.336,12.081,0.262,13890.328,0.522,1.0,1.11,1.11,1.077,7276.785,2.098,-0.021,-26.662
82,100,0.0001,0.0,6765,33.999,0.0,4.99,2.319,12.254,0.439,20267.212,0.245,0.938,1.124,1.124,1.071,3127.77,1.03,-0.014,-14.58
83,100,0.0001,0.05,2804,33.955,0.0,5.02,2.328,12.192,0.439,20304.58,0.249,0.943,1.122,1.122,1.077,2966.827,1.022,-0.015,-14.562
84,100,0.0001,0.25,9361,33.77,0.0,5.03,2.331,12.056,0.433,20001.395,0.256,0.95,1.141,1.141,1.08,3706.363,1.024,-0.015,-14.96
