,seed,OSL Margin,beam,OSL weight,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
37,2804,0.0001,5,0.7000000000000001,34.452,0.0,5.02,2.328,12.18,0.379,18224.868,0.325,0.973,1.09,1.09,1.059,6326.601,1.303,-0.016,-18.078
38,9361,0.0001,5,0.2,34.192,0.0,5.03,2.331,12.118,0.435,20047.7,0.255,0.939,1.091,1.091,1.062,3596.728,1.023,-0.015,-14.883
39,9361,0.0001,5,0.1,34.211,0.0,5.03,2.331,12.105,0.437,20130.312,0.252,0.936,1.092,1.092,1.061,3407.483,1.022,-0.015,-14.751
40,6765,0.0001,5,0.75,34.319,0.0,5.01,2.325,12.279,0.371,18004.469,0.339,0.982,1.087,1.087,1.053,6706.455,1.664,-0.017,-18.533
41,2804,0.0001,5,0.25,34.324,0.0,5.02,2.328,12.143,0.433,20093.502,0.257,0.936,1.091,1.091,1.059,3432.009,1.026,-0.015,-14.899
42,4872,0.0001,5,0.55,34.15,0.0,4.98,2.315,12.266,0.411,19204.72,0.265,0.941,1.1,1.1,1.069,4740.007,1.027,-0.015,-16.039
43,9361,0.0001,5,0.65,34.224,0.0,5.03,2.331,12.13,0.409,19168.879,0.29,0.963,1.091,1.091,1.062,5469.965,1.042,-0.015,-16.332
44,2804,0.0001,5,0.45,34.277,0.0,5.02,2.328,12.143,0.423,19733.519,0.269,0.946,1.09,1.09,1.059,4243.016,1.036,-0.016,-15.483
45,4872,0.0001,5,0.4,34.189,0.0,4.98,2.315,12.242,0.425,19664.922,0.25,0.927,1.1,1.1,1.069,3780.251,1.021,-0.015,-15.275
46,4872,0.0001,5,0.8,34.194,0.0,4.98,2.316,12.229,0.33,16372.646,0.374,0.987,1.097,1.097,1.067,7013.543,1.223,-0.017,-21.159
47,2804,0.0001,5,0.9,34.367,0.0,5.03,2.332,12.279,0.231,12701.2,0.562,0.999,1.089,1.089,1.059,7275.966,3.86,-0.021,-29.493
48,6765,0.0001,5,0.3,34.368,0.0,4.99,2.319,12.328,0.431,19991.36,0.256,0.937,1.089,1.089,1.056,3751.334,1.043,-0.014,-15.018
49,9361,0.0001,5,1.0,32.139,0.0,5.77,2.529,12.204,0.023,2722.759,0.952,1.0,0.984,0.984,1.0,7334.055,251.86,-1.431,-86.354
50,6765,0.0001,5,0.5,34.31,0.0,4.99,2.32,12.341,0.421,19640.819,0.27,0.946,1.089,1.089,1.056,4564.967,1.068,-0.014,-15.597
51,6765,0.0001,5,0.25,34.286,0.0,4.99,2.319,12.378,0.433,20053.371,0.253,0.935,1.089,1.089,1.056,3611.805,1.038,-0.014,-14.922
52,2804,0.0001,5,0.55,34.306,0.0,5.02,2.328,12.155,0.414,19443.555,0.279,0.954,1.09,1.09,1.06,4860.536,1.046,-0.016,-15.962
53,2421,0.0001,5,0.2,34.013,0.0,4.97,2.313,12.167,0.429,19908.262,0.255,0.932,1.093,1.093,1.059,3606.405,1.223,-0.015,-15.025
54,2421,0.0001,5,0.4,34.025,0.0,4.97,2.313,12.192,0.421,19617.682,0.265,0.941,1.093,1.093,1.059,4269.392,1.348,-0.015,-15.497
55,6765,0.0001,5,0.35,34.306,0.0,4.99,2.319,12.353,0.429,19923.98,0.259,0.939,1.089,1.089,1.056,3911.249,1.046,-0.014,-15.13
56,6765,0.0001,5,0.6000000000000001,34.331,0.0,4.99,2.32,12.353,0.411,19335.954,0.282,0.955,1.089,1.089,1.056,5206.557,1.106,-0.014,-16.099
57,4872,0.0001,5,0.7000000000000001,34.195,0.0,4.98,2.316,12.229,0.371,17851.974,0.314,0.969,1.098,1.098,1.067,6378.579,1.055,-0.016,-18.396
58,2804,0.0001,5,0.2,34.305,0.0,5.02,2.328,12.143,0.435,20154.922,0.255,0.934,1.091,1.091,1.059,3294.345,1.025,-0.015,-14.801
59,4872,0.0001,5,0.3,34.161,0.0,4.98,2.315,12.229,0.431,19866.91,0.243,0.92,1.1,1.1,1.069,3328.585,1.02,-0.015,-14.945
60,2421,0.0001,5,0.5,34.06,0.0,4.97,2.313,12.167,0.415,19390.859,0.275,0.947,1.093,1.093,1.059,4764.267,1.478,-0.015,-15.872
61,2421,0.0001,5,0.6000000000000001,34.049,0.0,4.97,2.314,12.18,0.405,19056.962,0.289,0.956,1.092,1.092,1.059,5405.361,1.642,-0.015,-16.43
62,9361,0.0001,5,0.7000000000000001,34.166,0.0,5.03,2.332,12.081,0.401,18928.896,0.301,0.967,1.091,1.091,1.061,5851.222,1.055,-0.016,-16.741
63,4872,0.0001,5,0.5,34.164,0.0,4.98,2.315,12.242,0.417,19386.332,0.258,0.937,1.1,1.1,1.069,4377.896,1.024,-0.015,-15.735
64,2421,0.0001,5,0.15,34.065,0.0,4.97,2.313,12.167,0.431,19960.129,0.252,0.93,1.093,1.093,1.059,3486.894,1.203,-0.015,-14.941
65,2421,0.0001,5,0.95,34.323,0.0,4.99,2.32,12.105,0.14,8514.785,0.739,1.0,1.093,1.093,1.061,7312.814,4.123,-0.021,-40.843
66,6765,0.0001,5,0.4,34.293,0.0,4.99,2.319,12.341,0.426,19843.905,0.262,0.941,1.089,1.089,1.056,4098.89,1.051,-0.014,-15.262
67,2421,0.0001,5,0.9,34.293,0.0,4.99,2.319,12.093,0.231,12676.845,0.563,0.999,1.092,1.092,1.059,7290.031,1.997,-0.018,-29.376
68,9361,0.0001,5,0.75,34.427,0.0,5.03,2.332,12.229,0.376,18051.334,0.331,0.982,1.088,1.088,1.059,6557.536,1.118,-0.019,-18.303
69,9361,0.0001,5,0.4,34.198,0.0,5.03,2.331,12.105,0.428,19812.401,0.264,0.945,1.091,1.091,1.061,4141.384,1.027,-0.015,-15.265
70,9361,0.0001,5,0.8500000000000001,34.297,0.0,5.05,2.335,12.18,0.31,15719.748,0.436,0.996,1.089,1.089,1.059,7184.429,1.846,-0.019,-22.816
71,2804,0.0001,5,0.65,34.425,0.0,5.02,2.328,12.217,0.39,18622.849,0.308,0.968,1.09,1.09,1.059,5937.647,1.154,-0.016,-17.385
72,6765,0.0001,5,0.7000000000000001,34.31,0.0,5.01,2.325,12.279,0.384,18456.746,0.32,0.975,1.087,1.087,1.054,6359.526,1.437,-0.016,-17.733
73,4872,0.0001,5,0.95,34.204,0.0,4.99,2.32,12.304,0.128,7888.9,0.748,1.0,1.096,1.096,1.067,7307.351,4.766,-0.024,-43.056
74,2804,0.0001,5,0.35,34.312,0.0,5.02,2.328,12.118,0.429,19939.467,0.261,0.941,1.09,1.09,1.059,3779.397,1.028,-0.015,-15.147
75,2421,0.0001,5,0.45,34.032,0.0,4.97,2.313,12.167,0.418,19513.329,0.27,0.944,1.093,1.093,1.059,4500.26,1.398,-0.015,-15.668
76,2421,0.0001,5,0.75,34.169,0.0,4.98,2.316,12.118,0.361,17576.176,0.347,0.982,1.097,1.097,1.062,6757.354,1.886,-0.014,-19.095
77,9361,0.0001,5,0.15,34.216,0.0,5.03,2.331,12.13,0.436,20090.45,0.254,0.937,1.091,1.091,1.062,3498.258,1.022,-0.015,-14.815
78,9361,0.0001,5,0.45,34.213,0.0,5.03,2.331,12.143,0.425,19726.575,0.267,0.947,1.091,1.091,1.061,4336.849,1.03,-0.015,-15.406
79,2804,0.0001,5,0.3,34.31,0.0,5.02,2.328,12.13,0.431,20018.451,0.259,0.939,1.09,1.09,1.059,3598.129,1.027,-0.015,-15.018
80,2421,0.0001,5,0.35,34.013,0.0,4.97,2.313,12.18,0.424,19709.785,0.262,0.938,1.093,1.093,1.059,4066.588,1.305,-0.015,-15.35
81,9361,0.0001,5,0.9,34.291,0.0,5.05,2.336,12.143,0.262,13890.328,0.522,0.999,1.089,1.089,1.059,7276.785,2.098,-0.021,-26.662
82,6765,0.0001,5,0.0,34.297,0.0,4.99,2.319,12.353,0.439,20267.212,0.245,0.928,1.088,1.088,1.054,3127.77,1.03,-0.014,-14.58
83,2804,0.0001,5,0.05,34.311,0.0,5.02,2.328,12.13,0.439,20304.58,0.249,0.93,1.091,1.091,1.059,2966.827,1.022,-0.015,-14.562
84,9361,0.0001,5,0.25,34.188,0.0,5.03,2.331,12.118,0.433,20001.395,0.256,0.941,1.091,1.091,1.062,3706.363,1.024,-0.015,-14.96
85,6765,0.0001,5,0.45,34.298,0.0,4.99,2.32,12.353,0.423,19750.828,0.267,0.944,1.089,1.089,1.056,4312.251,1.061,-0.014,-15.414
86,9361,0.0001,5,0.55,34.196,0.0,5.03,2.331,12.093,0.419,19504.645,0.277,0.954,1.091,1.091,1.062,4820.101,1.035,-0.015,-15.77
87,6765,0.0001,5,0.65,34.336,0.0,5.01,2.325,12.254,0.394,18797.255,0.305,0.971,1.088,1.088,1.056,5978.186,1.271,-0.016,-17.145
88,2421,0.0001,5,0.7000000000000001,34.052,0.0,4.97,2.314,12.155,0.389,18523.874,0.31,0.967,1.092,1.092,1.059,6160.209,1.815,-0.016,-17.339
89,6765,0.0001,5,0.15,34.305,0.0,4.99,2.319,12.378,0.436,20152.759,0.25,0.932,1.089,1.089,1.056,3384.712,1.034,-0.014,-14.763
90,6765,0.0001,5,0.2,34.294,0.0,4.99,2.319,12.353,0.435,20109.647,0.251,0.934,1.088,1.088,1.056,3488.021,1.036,-0.014,-14.835
91,2421,0.0001,5,0.65,34.036,0.0,4.97,2.314,12.167,0.398,18824.402,0.298,0.961,1.092,1.092,1.059,5774.952,1.735,-0.015,-16.822
92,4872,0.0001,5,0.2,34.145,0.0,4.98,2.315,12.254,0.436,20022.572,0.237,0.916,1.1,1.1,1.069,2983.183,1.019,-0.015,-14.695
93,2421,0.0001,5,0.1,34.038,0.0,4.97,2.313,12.167,0.432,20005.669,0.25,0.929,1.093,1.093,1.059,3381.362,1.191,-0.015,-14.867
94,6765,0.0001,5,0.8,34.337,0.0,5.0,2.321,12.353,0.372,17976.266,0.342,0.981,1.088,1.088,1.056,6783.015,1.688,-0.016,-18.437
95,2421,0.0001,5,1.0,32.346,0.0,5.73,2.519,12.217,0.029,3359.078,0.934,1.0,0.99,0.99,1.0,7333.871,325.374,-1.447,-78.479
96,2804,0.0001,5,0.95,34.331,0.0,5.04,2.334,12.254,0.137,8354.81,0.747,1.0,1.091,1.091,1.059,7308.098,4.996,-0.027,-41.574
97,9361,0.0001,5,0.6000000000000001,34.209,0.0,5.03,2.331,12.081,0.414,19357.3,0.283,0.958,1.091,1.091,1.062,5124.85,1.038,-0.015,-16.019
98,4872,0.0001,5,1.0,31.941,0.0,6.08,2.605,12.13,0.025,2918.216,0.941,1.0,0.963,0.963,1.0,7334.123,564.792,-2.368,-83.536
99,4872,0.0001,5,0.15,34.163,0.0,4.98,2.317,12.217,0.447,20352.18,0.226,0.896,1.103,1.103,1.071,2745.407,1.017,-0.014,-14.142
100,2804,0.0001,5,0.15,34.307,0.0,5.02,2.328,12.105,0.436,20208.817,0.253,0.932,1.091,1.091,1.059,3171.914,1.024,-0.015,-14.712
101,4872,0.0001,5,0.8500000000000001,34.231,0.0,4.98,2.317,12.242,0.293,15025.42,0.439,0.996,1.098,1.098,1.067,7187.89,1.839,-0.018,-23.869
102,9361,0.0001,5,0.0,34.204,0.0,5.03,2.331,12.118,0.439,20194.081,0.25,0.934,1.091,1.091,1.062,3264.037,1.02,-0.015,-14.65
103,6765,0.0001,5,0.9,34.451,0.0,5.03,2.331,12.217,0.252,13609.968,0.536,0.999,1.093,1.093,1.059,7289.354,2.181,-0.019,-27.516
104,2804,0.0001,5,0.4,34.311,0.0,5.02,2.328,12.143,0.426,19845.628,0.265,0.943,1.09,1.09,1.059,3993.973,1.03,-0.016,-15.302
105,4872,0.0001,5,0.25,34.163,0.0,4.98,2.315,12.242,0.433,19949.907,0.24,0.919,1.1,1.1,1.069,3142.719,1.02,-0.015,-14.811
