,OSL weight,seed,beam,OSL Margin,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
64,0.95,2421,250,0.0001,34.021,0.0,4.99,2.32,12.13,0.14,8514.785,0.739,1.0,1.117,1.117,1.077,7312.814,4.123,-0.021,-40.843
65,0.4,6765,250,0.0001,33.904,0.0,4.99,2.319,12.266,0.426,19843.905,0.262,0.952,1.134,1.134,1.075,4098.89,1.051,-0.014,-15.262
66,0.9,2421,250,0.0001,34.007,0.0,4.99,2.319,12.118,0.231,12676.845,0.563,1.0,1.117,1.117,1.077,7290.031,1.997,-0.018,-29.376
67,0.75,9361,250,0.0001,34.051,0.0,5.03,2.332,12.068,0.376,18051.334,0.331,0.987,1.114,1.114,1.077,6557.536,1.118,-0.019,-18.303
68,0.4,9361,250,0.0001,33.627,0.0,5.03,2.331,12.044,0.428,19812.401,0.264,0.957,1.145,1.145,1.081,4141.384,1.027,-0.015,-15.265
69,0.8500000000000001,9361,250,0.0001,34.019,0.0,5.05,2.335,12.068,0.31,15719.748,0.436,0.998,1.113,1.113,1.077,7184.429,1.846,-0.019,-22.816
70,0.65,2804,250,0.0001,34.102,0.0,5.02,2.328,12.192,0.39,18622.849,0.308,0.975,1.12,1.12,1.077,5937.647,1.154,-0.016,-17.385
71,0.7000000000000001,6765,250,0.0001,34.077,0.0,5.01,2.325,12.13,0.384,18456.746,0.32,0.982,1.111,1.111,1.071,6359.526,1.437,-0.016,-17.733
72,0.95,4872,250,0.0001,33.912,0.0,4.99,2.32,12.254,0.128,7888.9,0.748,1.0,1.119,1.119,1.086,7307.351,4.766,-0.024,-43.056
73,0.35,2804,250,0.0001,33.885,0.0,5.02,2.328,12.204,0.429,19939.467,0.261,0.954,1.129,1.129,1.08,3779.397,1.028,-0.015,-15.147
74,0.45,2421,250,0.0001,33.704,0.0,4.97,2.313,12.204,0.418,19513.329,0.27,0.956,1.127,1.127,1.08,4500.26,1.398,-0.015,-15.668
75,0.75,2421,250,0.0001,33.841,0.0,4.98,2.316,12.143,0.361,17576.176,0.347,0.987,1.124,1.124,1.081,6757.354,1.886,-0.014,-19.095
76,0.15,9361,250,0.0001,33.626,0.0,5.03,2.331,12.044,0.436,20090.45,0.254,0.949,1.146,1.146,1.081,3498.258,1.022,-0.015,-14.815
77,0.45,9361,250,0.0001,33.629,0.0,5.03,2.331,12.044,0.425,19726.575,0.267,0.959,1.141,1.141,1.081,4336.849,1.03,-0.015,-15.406
78,0.3,2804,250,0.0001,33.898,0.0,5.02,2.328,12.204,0.431,20018.451,0.259,0.951,1.131,1.131,1.08,3598.129,1.027,-0.015,-15.018
79,0.35,2421,250,0.0001,33.68,0.0,4.97,2.313,12.217,0.424,19709.785,0.262,0.951,1.133,1.133,1.08,4066.588,1.305,-0.015,-15.35
80,0.9,9361,250,0.0001,34.023,0.0,5.05,2.336,12.068,0.262,13890.328,0.522,1.0,1.113,1.113,1.077,7276.785,2.098,-0.021,-26.662
81,0.0,6765,250,0.0001,33.836,0.0,4.99,2.319,12.328,0.439,20267.212,0.245,0.94,1.155,1.155,1.077,3127.77,1.03,-0.014,-14.58
82,0.05,2804,250,0.0001,33.844,0.0,5.02,2.328,12.279,0.439,20304.58,0.249,0.944,1.146,1.146,1.08,2966.827,1.022,-0.015,-14.562
83,0.25,9361,250,0.0001,33.605,0.0,5.03,2.331,12.031,0.433,20001.395,0.256,0.952,1.146,1.146,1.083,3706.363,1.024,-0.015,-14.96
84,0.45,6765,250,0.0001,33.922,0.0,4.99,2.32,12.242,0.423,19750.828,0.267,0.956,1.131,1.131,1.077,4312.251,1.061,-0.014,-15.414
85,0.55,9361,250,0.0001,33.687,0.0,5.03,2.331,12.044,0.419,19504.645,0.277,0.963,1.141,1.141,1.081,4820.101,1.035,-0.015,-15.77
86,0.65,6765,250,0.0001,34.047,0.0,5.01,2.325,12.13,0.394,18797.255,0.305,0.978,1.114,1.114,1.071,5978.186,1.271,-0.016,-17.145
87,0.7000000000000001,2421,250,0.0001,33.763,0.0,4.97,2.314,12.167,0.389,18523.874,0.31,0.975,1.121,1.121,1.079,6160.209,1.815,-0.016,-17.339
88,0.15,6765,250,0.0001,33.865,0.0,4.99,2.319,12.316,0.436,20152.759,0.25,0.943,1.144,1.144,1.077,3384.712,1.034,-0.014,-14.763
89,0.2,6765,250,0.0001,33.873,0.0,4.99,2.319,12.304,0.435,20109.647,0.251,0.944,1.144,1.144,1.077,3488.021,1.036,-0.014,-14.835
90,0.65,2421,250,0.0001,33.765,0.0,4.97,2.314,12.167,0.398,18824.402,0.298,0.971,1.121,1.121,1.08,5774.952,1.735,-0.015,-16.822
91,0.2,4872,250,0.0001,33.624,0.0,4.98,2.315,12.266,0.436,20022.572,0.237,0.929,1.148,1.148,1.088,2983.183,1.019,-0.015,-14.695
92,0.1,2421,250,0.0001,33.647,0.0,4.97,2.313,12.217,0.432,20005.669,0.25,0.94,1.141,1.141,1.08,3381.362,1.191,-0.015,-14.867
