,OSL Margin,seed,beam,OSL weight,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
45,0.0001,4872,1000,0.4,33.397,0.0,4.98,2.315,12.316,0.425,19664.922,0.25,0.942,1.178,1.178,1.091,3780.251,1.021,-0.015,-15.275
46,0.0001,4872,1000,0.8,33.794,0.0,4.98,2.316,12.13,0.33,16372.646,0.374,0.991,1.129,1.129,1.088,7013.543,1.223,-0.017,-21.159
47,0.0001,2804,1000,0.9,33.978,0.0,5.03,2.332,12.217,0.231,12701.2,0.562,1.0,1.122,1.122,1.079,7275.966,3.86,-0.021,-29.493
48,0.0001,6765,1000,0.3,33.398,0.0,4.99,2.319,12.662,0.431,19991.36,0.256,0.953,1.29,1.29,1.077,3751.334,1.043,-0.014,-15.018
49,0.0001,9361,1000,1.0,32.879,0.0,5.77,2.529,12.044,0.023,2722.759,0.952,1.0,1.041,1.041,1.027,7334.055,251.86,-1.431,-86.354
50,0.0001,6765,1000,0.5,33.717,0.0,4.99,2.32,12.341,0.421,19640.819,0.27,0.96,1.174,1.174,1.077,4564.967,1.068,-0.014,-15.597
51,0.0001,6765,1000,0.25,33.259,0.0,4.99,2.319,12.749,0.433,20053.371,0.253,0.951,1.321,1.321,1.077,3611.805,1.038,-0.014,-14.922
52,0.0001,2804,1000,0.55,33.712,0.0,5.02,2.328,12.242,0.414,19443.555,0.279,0.966,1.159,1.159,1.083,4860.536,1.046,-0.016,-15.962
53,0.0001,2421,1000,0.2,33.403,0.0,4.97,2.313,12.242,0.429,19908.262,0.255,0.946,1.162,1.162,1.083,3606.405,1.223,-0.015,-15.025
54,0.0001,2421,1000,0.4,33.495,0.0,4.97,2.313,12.217,0.421,19617.682,0.265,0.955,1.146,1.146,1.083,4269.392,1.348,-0.015,-15.497
55,0.0001,6765,1000,0.35,33.453,0.0,4.99,2.319,12.601,0.429,19923.98,0.259,0.954,1.266,1.266,1.077,3911.249,1.046,-0.014,-15.13
56,0.0001,6765,1000,0.6000000000000001,33.776,0.0,4.99,2.32,12.266,0.411,19335.954,0.282,0.967,1.149,1.149,1.077,5206.557,1.106,-0.014,-16.099
57,0.0001,4872,1000,0.7000000000000001,33.754,0.0,4.98,2.316,12.105,0.371,17851.974,0.314,0.978,1.133,1.133,1.091,6378.579,1.055,-0.016,-18.396
58,0.0001,2804,1000,0.2,33.343,0.0,5.02,2.328,12.588,0.435,20154.922,0.255,0.954,1.276,1.276,1.083,3294.345,1.025,-0.015,-14.801
59,0.0001,4872,1000,0.3,33.271,0.0,4.98,2.315,12.452,0.431,19866.91,0.243,0.936,1.22,1.22,1.091,3328.585,1.02,-0.015,-14.945
60,0.0001,2421,1000,0.5,33.518,0.0,4.97,2.313,12.229,0.415,19390.859,0.275,0.96,1.145,1.145,1.083,4764.267,1.478,-0.015,-15.872
